id,carpeta,referencia,nombre,categoria,subcategoria,imagen_principal,n_imagenes,vista360,enlace
3357,"3357_VA-136___Vaso_Pitillo_Balon_720ml_Produ","VA-136.","Vaso Pitillo Balon 720ml- Produccion Nacional","MUGS, BOTILITOS, VASOS Y TERMOS","Botilitos Plásticos","principal.jpg",6,"https://catalogospromocionales.com/images/v360/VA-136./index.html?V=6","https://www.catalogospromocionales.com/p/vaso-pitillo-balon-720ml-produccion-nacional/4094/346"
3358,"3358_MU-60__Botilito_Infussion_800ML","MU-60","Botilito Infussion 800ML","MUGS, BOTILITOS, VASOS Y TERMOS","Botilitos Plásticos","principal.jpg",7,"https://catalogospromocionales.com/images/v360/MU-60/index.html?V=6","https://www.catalogospromocionales.com/p/botilito-infussion-800ml/5762/346"
3359,"3359_TAPA-HOLDY__Tapa_Holdy","TAPA-HOLDY","Tapa Holdy","MUGS, BOTILITOS, VASOS Y TERMOS","Botilitos Plásticos","principal.jpg",6,"https://catalogospromocionales.com/images/v360/TAPA-HOLDY/index.html?V=6","https://www.catalogospromocionales.com/p/Tapa-Holdy/10615/346"
3360,"3360_MU-334__Botilito_Pl_stico_Kepler_650ml","MU-334","Botilito Plástico Kepler 650ml","MUGS, BOTILITOS, VASOS Y TERMOS","Botilitos Plásticos","principal.jpg",5,"https://catalogospromocionales.com/images/v360/MU-334/index.html?V=6","https://www.catalogospromocionales.com/p/Botilito-Plastico-Kepler-650ml/10295/346"
3361,"3361_MU-363__Botilito_Pl_stico_Bacchus_PET_","MU-363","Botilito Plástico Bacchus PET 1000ml","MUGS, BOTILITOS, VASOS Y TERMOS","Botilitos Plásticos","principal.jpg",4,"https://catalogospromocionales.com/images/v360/MU-363/index.html?V=6","https://www.catalogospromocionales.com/p/Botilito-Plastico-Bacchus-PET-1000ml/10562/346"
3362,"3362_MU-358__Botilito_Pl_stico_Avalon_PET_7","MU-358","Botilito Plástico Avalon PET 750ml","MUGS, BOTILITOS, VASOS Y TERMOS","Botilitos Plásticos","principal.jpg",8,"https://catalogospromocionales.com/images/v360/MU-358/index.html?V=6","https://www.catalogospromocionales.com/p/Botilito-Plastico-Avalon-PET-750ml/10490/346"
3363,"3363_MU-408__Botilito_Pl_stico_Pvc_Runny_69","MU-408","Botilito Plástico Pvc Runny 690ml - Prod. Nacional","MUGS, BOTILITOS, VASOS Y TERMOS","Botilitos Plásticos","principal.jpg",8,"https://catalogospromocionales.com/images/v360/MU-408/index.html?V=6","https://www.catalogospromocionales.com/p/botilito-plastico-pvc-runny-690-ml/13236/346"
3364,"3364_MU-253-1__Botilito_Maxi_Supra_PET_890ml_","MU-253-1","Botilito Maxi Supra PET 890ml- Produccion Nacional","MUGS, BOTILITOS, VASOS Y TERMOS","Botilitos Plásticos","principal.jpg",7,"https://catalogospromocionales.com/images/v360/MU-253-1/index.html?V=6","https://www.catalogospromocionales.com/p/Botilito-Maxi-Supra-PET-900ml-produccion-nacional/10616/346"
3365,"3365_MU-432__BOTILITO_JORMI_1000ml","MU-432","BOTILITO JORMI 1000ml","MUGS, BOTILITOS, VASOS Y TERMOS","Botilitos Plásticos","principal.jpg",5,"https://catalogospromocionales.com/images/v360/MU-432/index.html?V=6","https://www.catalogospromocionales.com/p/botilito-jormi-rpet-1000-ml/13217/346"
3366,"3366_AG-01__Agarradera_en_Polietileno_para","AG-01","Agarradera en Polietileno para botilito","MUGS, BOTILITOS, VASOS Y TERMOS","Botilitos Plásticos","principal.jpg",1,"https://catalogospromocionales.com/images/v360/AG-01/index.html?V=6","https://www.catalogospromocionales.com/p/Agarradera-en-Polietileno/13405/346"
3367,"3367_MU-420__Botilito_Pl_stico_Vita_600ml_R","MU-420","Botilito Plástico Vita 600ml Rpet","MUGS, BOTILITOS, VASOS Y TERMOS","Botilitos Plásticos","principal.jpg",6,"https://catalogospromocionales.com/images/v360/MU-420/index.html?V=6","https://www.catalogospromocionales.com/p/botilito-vita-600ml/13246/346"
3368,"3368_MU-417__BOTILITO_PLASTICO_NAPPER_800ml","MU-417","BOTILITO PLASTICO NAPPER 800ml","MUGS, BOTILITOS, VASOS Y TERMOS","Botilitos Plásticos","principal.jpg",5,"https://catalogospromocionales.com/images/v360/MU-417/index.html?V=6","https://www.catalogospromocionales.com/p/botilito-plastico-napper-800-ml/13243/346"
3369,"3369_MU-452__Mug_Plastico_Atom_370_ml_Produ","MU-452","Mug Plastico Atom 370 ml - Producción Nacional","MUGS, BOTILITOS, VASOS Y TERMOS","Botilitos Plásticos","principal.jpg",9,"https://catalogospromocionales.com/images/v360/MU-452/index.html?V=6","https://www.catalogospromocionales.com/p/mug-plastico-atom-370-ml/13530/346"
